FIPSF,NAME,medage16,mfg652000,wrkAge2030,urate17,pRate16,pRateFem16,bach2016,perstr14,autoBall
F55001,Adams County,52.2,15.18,50.7,5.1,46.4,54.5,8.4,30.8,59.4
F55003,Ashland County,41.6,15.6,53.1,4.6,63,63.5,13.9,27.8,57.6
F55005,Barron County,44.1,15.18,52.2,3.5,63.5,64,11.9,27.4,58.4
F55007,Bayfield County,51.2,17.82,46,5.3,58.3,59.9,19,33,58.1
F55009,Brown County,36.8,13.92,58.8,2.9,69.5,65,20.3,14.3,58.5
F55011,Buffalo County,45.4,21.36,51.9,3.7,66.3,65.8,12.4,23.9,57.1
F55013,Burnett County,51.6,17.64,50.7,4.9,54.5,60.6,12.9,29.5,58.6
F55015,Calumet County,39.4,15.66,59.7,2.8,72.3,68,21.8,13.1,58.4
F55017,Chippewa County,41,15.3,57.2,3.5,64.7,66.5,14,15.8,58.9
F55019,Clark County,37.3,12.42,52.1,3.1,64.2,57.8,8.4,26,58.1
F55021,Columbia County,42.2,16.02,58,2.9,68.4,66.2,16.3,18.4,58.8
F55023,Crawford County,46.1,17.1,51.2,4.1,59.1,64.4,10.7,32.2,58.6
F55025,Dane County,34.7,14.52,62.3,2.4,72.9,67.1,29.2,12.9,58.2
F55027,Dodge County,42.1,15.42,57.6,2.9,63.8,63.6,11.4,16.9,55.9
F55029,Door County,52.2,18.24,47.2,3.9,59,62.3,20.1,23.7,58.2
F55031,Douglas County,41,13.74,56.7,4.5,64.2,64.3,15.8,20.3,57.7
F55033,Dunn County,34.5,13.38,59.4,3.3,66,63.2,16.8,24.9,57.5
F55035,Eau Claire County,34,12.36,60.1,2.9,69.7,65.8,20,16.5,58.1
F55037,Florence County,52.1,9.3,48.8,4.7,55,57.8,13.1,31.9,58.8
F55039,Fond du Lac County,41.1,16.2,56.3,2.8,67.2,64.1,15.2,19,58.5
F55041,Forest County,46.2,14.52,53.7,5.1,53.4,55.8,8.7,33.1,59
F55043,Grant County,36,15.12,56.7,3.2,64.9,65.3,13.1,27.3,58.7
F55045,Green County,42.6,14.22,55.8,2.7,69.9,66.4,15.4,16.2,56.5
F55047,Green Lake County,45.4,21.96,50.8,3.8,62.2,63.2,11.9,24,59.5
F55049,Iowa County,42.9,13.62,54.4,2.9,68.7,66.2,15.6,18.8,56.9
F55051,Iron County,53.2,15.78,47.9,6.2,54,59.8,13.3,28.4,58
F55053,Jackson County,42,15.78,53.9,3.4,59.7,62.6,8.9,29.1,58.3
F55055,Jefferson County,39.5,15.36,58.9,3.2,69,66.2,16.4,13.9,55.5
F55057,Juneau County,44.8,15.9,54.9,3.3,58.1,61.7,9.2,27.3,59.1
F55059,Kenosha County,37.6,15.48,60.7,3.9,67.2,62.6,16.2,12.2,55.8
F55061,Kewaunee County,43.8,16.44,54.3,3.1,65.9,63.9,12.8,17.2,57.9
F55063,La Crosse County,35.4,16.38,58.2,2.9,68.2,65.2,20.1,17,57.9
F55065,Lafayette County,41.5,14.34,53.8,2.5,68.5,65.3,12.2,23.3,58.1
F55067,Langlade County,47.7,18.18,52.2,4.2,59.7,61.7,10.5,31.9,58.7
F55069,Lincoln County,46.6,18.66,53.2,3.6,63.9,65.9,11.3,28,58.6
F55071,Manitowoc County,44.4,16.74,54,3.6,65.7,66.2,14.2,14.6,57.9
F55073,Marathon County,40.7,15.24,56.7,3,68.6,66,16.2,19.6,59.3
F55075,Marinette County,47.5,14.82,51.9,4.4,59.3,61.4,9.8,27.7,58.6
F55077,Marquette County,49.1,19.68,49.3,3.8,59.1,62.9,9.7,29.8,59.7
F55078,Menominee County,30.8,18.48,56.3,6,52.5,54,10.6,30.8,59.5
F55079,Milwaukee County,34.3,16.56,62.7,4,65.8,62.2,19.2,7.4,55
F55081,Monroe County,39.2,15.72,55.6,3,65,62.4,13.1,27.5,58.5
F55083,Oconto County,45.8,18.72,55.8,3.5,65.1,64.6,11,22.9,59.1
F55085,Oneida County,50.3,17.04,51.4,3.9,57.4,61.6,16.6,35.5,58.8
F55087,Outagamie County,37.9,14.82,58.8,3,70.8,65.9,20,13.5,58.5
F55089,Ozaukee County,43.9,16.62,55.7,2.8,67.6,63.5,29.5,8.7,55.7
F55091,Pepin County,45.5,15.24,51.1,3.6,64.6,67,12.9,27.1,56.8
F55093,Pierce County,36,13.68,60.2,3.4,70.9,67,19,21.6,54.9
F55095,Polk County,44.5,14.82,55.8,3.8,64.1,62.8,13.6,25,56.5
F55097,Portage County,36.3,15.12,58.5,3.1,67.5,64.3,20.6,26.9,59.4
F55099,Price County,51.3,16.98,47.5,3.8,58.4,61,11.8,28.5,58.7
F55101,Racine County,39.9,16.38,57.6,4.1,64.9,62.1,15.8,10.3,55.7
F55103,Richland County,44.5,17.52,52.3,3,61.5,61.7,11.4,30.6,58.5
F55105,Rock County,39.1,14.58,58.4,3.7,65.4,61.9,13.7,16.8,56.7
F55107,Rusk County,47.9,17.64,48.8,4.4,58.4,60.7,10.2,30.8,58.9
F55109,St. Croix County,37.9,15.06,61.3,3.1,73.2,66.9,23.6,16.4,56.8
F55111,Sauk County,41.4,15.06,57.7,2.9,68.9,66.2,15.3,19.9,57.6
F55113,Sawyer County,49.5,18.42,51.1,4.7,56.6,60.8,14.5,30.9,58.6
F55115,Shawano County,44.7,13.62,54,3.2,63.5,64.7,10.1,24.3,58.5
F55117,Sheboygan County,41.4,15.54,56.4,2.8,68.3,66.4,16.5,15.9,56.4
F55119,Taylor County,43.4,17.1,52.7,3.4,65.6,64.6,9.3,22.7,59.2
F55121,Trempealeau County,40.8,10.98,56.1,3.1,67.9,67.3,13.7,23.3,57.2
F55123,Vernon County,42.4,15.96,52.9,3.1,59.3,59.4,13.8,26.7,58.7
F55125,Vilas County,52.9,21.96,49.1,4.4,53.4,57.8,17.6,32.5,58.6
F55127,Walworth County,39,16.44,57.6,3.3,67.3,63.5,17.6,16.7,56.6
F55129,Washburn County,50,15.84,50.6,3.9,56.5,60.1,14.5,30.8,58.6
F55131,Washington County,42.4,15.48,56.6,2.8,70.9,66.5,21.2,8.2,56
F55133,Waukesha County,43,16.26,56.4,2.9,68.9,65,27.4,8.2,56.5
F55135,Waupaca County,44.8,12.54,51.2,3.2,64.2,64.5,13,20.6,58.4
F55137,Waushara County,48.5,15,53.8,3.9,54.8,58.6,9.8,30.1,60
F55139,Winnebago County,37.9,15.78,58.9,3,66,64.5,19.1,15.3,59
F55141,Wood County,43.7,19.62,53,3.8,65.6,65.3,13.2,25.8,59.1
